desc,joules_sum,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13,eig_14
0_10_350_0x1d00_135_200000,908.4945472399995,9.992109105441159,1.6960508660008953,1.5530541611089526,0.9954509201878909,0.3424411962296817,0.4072830624955674,0.010400712505637047,0.0022154554008685743,0.0005683753822383659,0.0003185037256702467,8.081671420773043e-05,2.0126376200861096e-05,3.963105038442286e-06,2.1722274727064673e-06,5.630985338534341e-07
0_5_20_0x1d00_135_200000,1091.5666308399996,9.994443908170073,2.270336429371581,0.9302896292615419,1.0008037996582033,0.5205393808282076,0.27696143257006095,0.005931001762666644,0.0005019035001700685,0.0001615181049465616,2.312235406563504e-05,4.174196475996502e-06,3.2272984775194115e-06,3.2413963030606876e-07,1.487838038858102e-07,9.458647461524039e-14
0_14_350_0x1d00_135_200000,908.4945472399995,9.97871823117882,1.6805665050255743,1.5532377080765698,0.9966831556880025,0.3434520945166661,0.4204907425301238,0.02307452975663254,0.002707948142920313,0.0007076770818087929,0.0002391380478067504,0.00011065197114333614,7.086315038648639e-06,3.412876481217188e-06,5.116307352755229e-07,6.071616726736238e-07
0_4_400_0x1d00_135_200000,943.6923476400007,9.988345314558162,1.6957061259297435,1.5555406225153874,0.9997737441141761,0.3380998140040696,0.4103715036085793,0.010865120875947914,0.0008828412041328855,0.0003029078446941154,5.374681536651853e-05,2.939593159096775e-05,2.096810407645258e-05,5.754222200791622e-07,4.303463101715811e-06,3.0156087536864006e-06
0_9_250_0x1d00_135_200000,991.0815298999987,9.997165933231091,1.6922952944009482,1.543277611286918,0.9988191967091797,0.3410432053226887,0.4221217852294933,0.003580167506173381,0.0014145082356243877,0.00019797575987401433,4.1452628276148706e-05,2.9179022822182058e-05,9.497134659649788e-06,2.1550991165436117e-07,2.4163496316544183e-06,1.5616727100936682e-06
0_12_200_0x1d00_135_200000,977.9556561600002,9.999899502953424,1.6991125566242802,1.5140527608296697,0.9990343803184597,0.34362619222896307,0.44048650221759506,0.0032134210466058855,0.0004014443609129617,9.761312649620904e-05,3.9125807656317784e-05,2.4214739947816326e-05,8.531138426167874e-06,1.8807526141726226e-07,2.2043592260187285e-06,1.3621730881191465e-06
0_11_200_0x1d00_135_200000,1000.82735942,9.99886804190104,1.6833466476606747,1.5433648289778157,1.0002237364574442,0.3361148649842753,0.4365293243424444,0.0011649048629086055,0.00015521178794208857,0.00012205230147344479,7.421282758183284e-05,1.7265894283879996e-05,1.3124212976746672e-05,4.587526409791513e-06,1.1261301757491627e-06,7.013255936159887e-08
0_4_350_0x1d00_135_200000,908.4945472399995,9.973954609508782,1.6989666493193423,1.5487608568360827,0.995492482954005,0.32584383218387536,0.42660239639062736,0.02759227879281533,0.002209116289578221,0.00026108438699227755,0.00021381499631062268,7.786654135805078e-05,1.7615985651745965e-05,5.041891093183177e-06,1.812573428924063e-06,5.413500623901779e-07
0_1_400_0x1d00_135_200000,968.4633257599999,9.962341323586301,1.7037828319596302,1.5538384882442613,0.9989002548410368,0.3331687494974255,0.3999544366911649,0.04634743178019644,0.001067251028711728,0.00033203721951168555,0.0002011223104820188,2.987418129783802e-05,2.031380197554431e-05,1.1867995091123923e-05,2.3748935535306633e-06,1.6419693663312142e-06
0_7_200_0x1d00_135_200000,1000.7911474399998,9.999521684064733,1.6912653579845318,1.5228561494131283,0.9999239535054075,0.3520645742647049,0.4321451248105328,0.0019339125195925403,0.000143964924287471,5.800072961453606e-05,4.108973508190021e-05,3.2728678152448634e-05,7.816382658370808e-06,4.3324114332761765e-06,2.3691693958959498e-07,1.0736592116660088e-06
